1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
2	0	6406	42	67	5	68	32	91	44	55	6	89	0	65	23	93	9	52	2	83	7	84	3	92	26	70	16	88	48	58	38	73	22	77	18	95	34	79	19	51	37	51	10	98	40	76	33	86	11	58	36	77	1	87	29	95	21	83	41	56	45	71	14	82	27	56	24	69	43	93	12	89	8	58	47	58	17	96	46	55	20	87	25	85	13	91	30	54	31	73	28	70	39	59	4	56	49	72	35	58	15	59
9	0	6297	34	60	3	79	24	65	38	95	40	84	31	61	44	85	21	88	20	80	17	80	43	93	23	58	5	82	14	56	22	52	28	55	48	76	7	75	12	84	16	52	1	82	10	93	2	81	42	96	18	94	9	90	4	90	49	89	36	88	6	58	37	79	13	56	41	90	32	84	39	96	29	69	46	51	8	79	35	51	33	63	15	79	11	59	25	74	0	58	19	90	30	87	27	85	26	99	45	52	47	77
6	0	6590	41	69	3	66	4	50	38	87	37	60	29	84	19	59	49	92	46	81	24	98	5	50	36	70	2	87	17	76	15	60	9	66	1	91	21	97	20	90	18	62	34	51	45	93	48	50	25	98	42	99	43	90	31	93	23	56	8	91	12	81	47	81	14	61	26	76	22	98	28	94	6	61	44	51	30	98	32	73	7	96	0	94	16	99	40	92	27	99	35	87	13	91	11	86	10	60	33	85	39	65
3	0	6848	49	88	31	84	11	89	14	94	43	86	29	69	3	73	27	84	45	87	9	63	37	84	5	78	34	66	26	92	22	67	12	76	1	86	19	77	32	69	18	82	24	64	0	61	40	80	6	86	25	90	13	54	7	85	44	76	8	77	2	78	47	51	30	80	21	99	15	65	10	65	20	91	35	84	36	86	33	92	38	55	42	74	46	55	39	76	23	72	28	86	48	73	4	63	17	59	16	56	41	85
6	0	5544	4	54	14	59	8	60	24	70	31	69	30	83	38	60	23	66	25	64	22	87	13	55	16	94	27	93	3	78	17	75	39	88	18	88	47	60	26	57	7	73	1	53	9	88	28	58	45	83	12	71	29	56	49	60	33	85	43	56	11	92	6	97	35	84	5	85	40	98	0	88	19	79	21	71	36	75	32	89	15	85	46	96	2	78	42	70	20	70	41	77	37	53	34	50	48	82	10	58	44	50
6	0	7455	36	78	39	69	27	88	4	63	48	83	45	76	26	83	1	72	40	85	25	63	15	68	7	61	33	62	11	83	37	67	49	83	8	58	41	70	16	88	20	56	22	65	42	77	14	80	18	56	17	98	21	79	13	61	3	76	24	58	2	71	44	61	31	50	6	59	35	65	23	68	46	89	10	68	34	50	38	79	5	75	9	71	32	50	29	58	19	52	30	66	0	73	47	85	43	93	12	79	28	74
7	0	5979	23	63	29	68	41	67	15	73	43	79	28	53	22	61	47	92	39	68	40	82	14	60	9	90	27	67	11	94	8	91	49	63	20	70	38	85	2	76	46	65	48	88	44	83	33	61	5	70	26	93	21	74	4	86	31	61	7	88	3	65	45	97	34	99	24	96	19	71	10	72	17	86	25	92	18	89	0	55	42	93	1	55	36	59	35	80	16	78	6	74	37	90	13	56	32	76	12	58	30	57
4	0	6630	42	73	4	95	22	88	23	97	41	71	31	64	26	74	20	76	3	68	43	66	47	86	27	68	32	99	24	87	13	91	12	62	48	95	11	95	18	71	29	81	8	72	7	98	36	97	21	84	17	69	46	80	19	64	1	57	35	84	25	98	49	55	38	62	5	61	14	64	9	66	39	78	40	53	30	59	45	62	2	71	10	87	34	71	33	78	0	53	15	97	44	85	37	59	16	80	28	72	6	68
2	0	6394	47	86	22	82	33	85	24	82	13	57	29	75	28	67	42	72	32	83	2	79	44	95	38	71	4	72	21	51	19	68	30	76	35	55	14	76	46	94	27	69	40	53	49	61	10	68	36	94	15	93	9	70	43	56	3	81	48	92	20	78	25	51	23	71	31	80	7	98	8	97	12	67	41	96	16	65	34	52	0	67	26	75	1	78	11	76	18	51	39	51	5	51	37	51	6	87	45	80	17	57
9	0	5882	34	53	47	97	11	66	19	54	42	61	29	83	2	93	23	97	22	54	26	66	25	93	45	67	21	91	36	73	30	81	15	55	14	62	17	95	7	64	6	92	43	64	31	61	48	82	12	67	24	97	16	86	35	78	13	92	49	73	10	82	20	99	18	98	8	63	28	74	33	76	46	64	38	67	39	70	37	58	0	71	9	52	3	80	4	80	5	80	41	79	27	66	40	94	1	63	44	73	32	86
